,0
411,UFL1
412,AATK
413,LAMP3
414,CDH6
415,SPI1
416,CUL4B
417,EBPL
418,SLC40A1
419,RASL10B
420,FGD1
421,MRPL20
422,IL33
423,TINAG
424,SCPEP1
425,SGCB
426,GC
427,HNRNPAB
428,PDIA3
429,RPF2
430,APPL1
431,UPF2
432,MAOB
433,SLPI
434,DDX11
435,SNW1
436,TOR4A
437,MED1
438,GRPEL2
439,CRH
440,TMEM203
441,CLEC5A
442,FFAR2
443,RBM12
444,PDCD4
445,MT1E
446,MKX
447,DERL3
448,TTLL1
449,MAPK4
450,PRDX2
451,SPTBN1
452,BATF2
453,GAS6
454,SDAD1
455,MSANTD4
456,HAUS5
457,FCGRT
458,MED28
459,SKP2
460,DBN1
461,DCAF16
462,ZNF622
463,MYSM1
464,PISD
465,ANXA3
466,HS3ST3A1
467,TSPYL5
468,EIF3G
469,PHACTR3
470,PARD6G
471,GPSM2
472,CTSZ
473,SLC20A1
474,POLG
475,IGF1R
476,ZNF692
477,F2RL2
478,UBE2W
479,TP53I11
480,SLA
481,YIPF1
482,RPL38
483,NT5C2
484,PTPN12
485,WASL
486,FGF10
487,ZNF318
488,RHEB
489,RASD2
490,ALDH1A3
491,MNS1
492,PTK2B
493,EVA1C
494,PRRT2
495,GNS
496,LAPTM4B
497,ZNF350
498,MRPS5
499,TONSL
500,ZNF664
501,IL10RA
502,TYK2
503,MTMR4
504,ADAM15
505,C16orf91
506,BCL2
507,ZBTB47
508,BDH1
509,PSMB5
510,LRIG1
511,KCTD1
512,ITPK1
513,NOTCH2
514,RECQL
515,RAB21
516,BEX5
517,TMOD1
518,ELAC2
519,FXYD6
520,PHTF2
521,MRPL10
522,XAB2
523,NCAPH2
524,PAQR3
525,DPYSL3
526,PRF1
527,ANTXR2
528,SERPINI1
529,HSD17B11
530,FMN1
531,UBE2J1
532,SH2B2
533,GNG2
534,DLG1
535,SUMF1
536,PIK3R6
537,U2AF1L4
538,KIAA1324
539,GLI1
540,HIST1H3F
541,MZT2B
542,CA8
543,PRPF6
544,IL1R1
545,MCL1
546,LRRC26
547,LZTS2
548,G2E3
549,ULK1
550,EXTL2
551,PBX1
552,CYLD
553,A2ML1
554,MFSD2A
555,EP400
556,CPE
557,SORBS2
558,RELL1
559,TTLL7
560,GBP5
561,TCEAL2
562,MRPS23
563,ENTPD6
564,CFB
565,KLF7
566,CDO1
567,RAET1E
568,ASGR1
569,TNPO3
570,STX19
571,PIGO
572,PIM3
573,CREB3L2
574,CDCA7L
575,NDUFA3
576,SLC38A6
577,NR6A1
578,UBAP1
579,MARVELD1
580,CPT2
581,BRAT1
582,PI4K2A
583,NREP
584,MAFK
585,ZKSCAN5
586,STK35
587,KIF1B
588,CXXC1
589,ATF4
590,SIPA1
591,SLC4A7
592,PTGR1
593,RPS24
594,ZFYVE27
595,MFN2
596,RBMS2
597,LSAMP
598,GCK
599,RAC1
600,KATNBL1
601,RPL9
602,SCGB3A2
603,RXRB
604,ABHD5
605,RABAC1
606,CREG1
607,RPS18
608,ESAM
609,GCNT2
610,POLR2I
611,TRIP4
612,YPEL3
613,DCAF7
614,NARF
615,MYCBP2
616,RHOC
617,SH2B1
618,CDON
619,RIPPLY3
620,CDS2
621,KEAP1
622,WNT4
623,LRRC32
