,TCGA,miRTarBase
1138,hsa-mir-6744,hsa-miR-6744-3p
1139,hsa-mir-6745,hsa-miR-6745
1140,hsa-mir-6746,hsa-miR-6746-3p
1141,hsa-mir-6747,hsa-miR-6747-3p
1142,hsa-mir-6748,hsa-miR-6748-3p
1143,hsa-mir-6749,hsa-miR-6749-3p
1144,hsa-mir-675,hsa-miR-675-3p
1145,hsa-mir-6750,hsa-miR-6750-3p
1146,hsa-mir-6751,hsa-miR-6751-3p
1147,hsa-mir-6752,hsa-miR-6752-5p
1148,hsa-mir-6753,hsa-miR-6753-3p
1149,hsa-mir-6754,hsa-miR-6754-5p
1150,hsa-mir-6755,hsa-miR-6755-5p
1151,hsa-mir-6756,hsa-miR-6756-3p
1152,hsa-mir-6757,hsa-miR-6757-3p
1153,hsa-mir-6758,hsa-miR-6758-5p
1154,hsa-mir-6759,hsa-miR-6759-3p
1155,hsa-mir-676,hsa-miR-676-5p
1156,hsa-mir-6760,hsa-miR-6760-3p
1157,hsa-mir-6761,hsa-miR-6761-5p
1158,hsa-mir-6762,hsa-miR-6762-5p
1159,hsa-mir-6763,hsa-miR-6763-3p
1160,hsa-mir-6764,hsa-miR-6764-5p
1161,hsa-mir-6765,hsa-miR-6765-5p
1162,hsa-mir-6766,hsa-miR-6766-3p
1163,hsa-mir-6767,hsa-miR-6767-3p
1164,hsa-mir-6768,hsa-miR-6768-5p
1165,hsa-mir-6769a,hsa-miR-6769a-5p
1166,hsa-mir-6769b,hsa-miR-6769b-5p
1167,hsa-mir-6771,hsa-miR-6771-3p
1168,hsa-mir-6772,hsa-miR-6772-5p
1169,hsa-mir-6773,hsa-miR-6773-5p
1170,hsa-mir-6774,hsa-miR-6774-3p
1171,hsa-mir-6775,hsa-miR-6775-3p
1172,hsa-mir-6776,hsa-miR-6776-3p
1173,hsa-mir-6777,hsa-miR-6777-3p
1174,hsa-mir-6778,hsa-miR-6778-3p
1175,hsa-mir-6779,hsa-miR-6779-5p
1176,hsa-mir-6780a,hsa-miR-6780a-5p
1177,hsa-mir-6780b,hsa-miR-6780b-3p
1178,hsa-mir-6781,hsa-miR-6781-3p
1179,hsa-mir-6782,hsa-miR-6782-3p
1180,hsa-mir-6783,hsa-miR-6783-5p
1181,hsa-mir-6784,hsa-miR-6784-5p
1182,hsa-mir-6785,hsa-miR-6785-3p
1183,hsa-mir-6786,hsa-miR-6786-5p
1184,hsa-mir-6787,hsa-miR-6787-5p
1185,hsa-mir-6788,hsa-miR-6788-5p
1186,hsa-mir-6789,hsa-miR-6789-3p
1187,hsa-mir-6790,hsa-miR-6790-5p
1188,hsa-mir-6791,hsa-miR-6791-5p
1189,hsa-mir-6792,hsa-miR-6792-3p
1190,hsa-mir-6793,hsa-miR-6793-5p
1191,hsa-mir-6794,hsa-miR-6794-5p
1192,hsa-mir-6795,hsa-miR-6795-5p
1193,hsa-mir-6796,hsa-miR-6796-3p
1194,hsa-mir-6797,hsa-miR-6797-3p
1195,hsa-mir-6798,hsa-miR-6798-5p
1196,hsa-mir-6799,hsa-miR-6799-5p
1197,hsa-mir-6800,hsa-miR-6800-3p
1198,hsa-mir-6801,hsa-miR-6801-3p
1199,hsa-mir-6802,hsa-miR-6802-3p
1200,hsa-mir-6803,hsa-miR-6803-5p
1201,hsa-mir-6804,hsa-miR-6804-5p
1202,hsa-mir-6805,hsa-miR-6805-3p
1203,hsa-mir-6806,hsa-miR-6806-5p
1204,hsa-mir-6807,hsa-miR-6807-3p
1205,hsa-mir-6808,hsa-miR-6808-3p
1206,hsa-mir-6809,hsa-miR-6809-3p
1207,hsa-mir-6810,hsa-miR-6810-3p
1208,hsa-mir-6811,hsa-miR-6811-3p
1209,hsa-mir-6812,hsa-miR-6812-3p
1210,hsa-mir-6813,hsa-miR-6813-5p
1211,hsa-mir-6814,hsa-miR-6814-5p
1212,hsa-mir-6815,hsa-miR-6815-3p
1213,hsa-mir-6816,hsa-miR-6816-5p
1214,hsa-mir-6817,hsa-miR-6817-3p
1215,hsa-mir-6818,hsa-miR-6818-3p
1216,hsa-mir-6819,hsa-miR-6819-5p
1217,hsa-mir-6820,hsa-miR-6820-5p
1218,hsa-mir-6821,hsa-miR-6821-5p
1219,hsa-mir-6822,hsa-miR-6822-5p
1220,hsa-mir-6823,hsa-miR-6823-3p
1221,hsa-mir-6824,hsa-miR-6824-3p
1222,hsa-mir-6825,hsa-miR-6825-3p
1223,hsa-mir-6826,hsa-miR-6826-3p
1224,hsa-mir-6827,hsa-miR-6827-3p
1225,hsa-mir-6828,hsa-miR-6828-3p
1226,hsa-mir-6829,hsa-miR-6829-3p
1227,hsa-mir-6830,hsa-miR-6830-3p
1228,hsa-mir-6831,hsa-miR-6831-3p
1229,hsa-mir-6832,hsa-miR-6832-3p
1230,hsa-mir-6833,hsa-miR-6833-5p
1231,hsa-mir-6834,hsa-miR-6834-5p
1232,hsa-mir-6835,hsa-miR-6835-3p
