,0
409,SYNRG
410,CINP
411,SH2B1
412,SEC14L1
413,FBXO4
414,C9orf72
415,HPR
416,NTSR1
417,ETV3L
418,GKN2
419,HHEX
420,CASS4
421,BNC2
422,IL25
423,LHB
424,HDGF
425,S100A13
426,PBRM1
427,ATXN2
428,TAGLN2
429,RAG2
430,CLDN18
431,SUN2
432,ELF4
433,TBC1D1
434,ALPK3
435,ELK1
436,PDRG1
437,COL18A1
438,MX2
439,SPR
440,ZNF672
441,TSEN2
442,TIGD1
443,CEP250
444,NEGR1
445,FADS3
446,VRK2
447,IL13RA2
448,LOXL4
449,CCDC136
450,EFNA1
451,PICALM
452,ISOC1
453,GRIA2
454,MYBPC3
455,ART5
456,LSR
457,WNT2
458,SNX6
459,FES
460,GCHFR
461,MT1M
462,CNOT11
463,CPSF7
464,RB1CC1
465,GORASP2
466,USP49
467,DSTN
468,MAGI1
469,UGT1A1
470,IGSF1
471,GATM
472,GABBR1
473,ATP6V1C2
474,SP8
475,ADIPOQ
476,STARD8
477,UBE2D1
478,MYO18B
479,MIF
480,GSTT2B
481,SYNGR1
482,KLK5
483,SPTLC2
484,TSPY2
485,KLHL24
486,SENP1
487,SMAD7
488,UAP1
489,BARHL2
490,ANAPC2
491,RNF41
492,HTR2B
493,DTD1
494,B2M
495,OPRD1
496,EPRS
497,CTNND2
498,DBP
499,CUTA
500,FKBPL
501,ADTRP
502,CCR8
503,CHSY1
504,GJC2
505,MYNN
506,MAP7D3
507,FKBP5
508,KLHL3
509,LSM1
510,NR2C1
511,KLF16
512,HS6ST2
513,MLH1
514,UFSP2
515,CLPTM1L
516,IRX1
517,HECW1
518,DES
519,PODXL2
520,AQR
521,ARFGAP2
522,ITGA4
523,ZSCAN1
524,TMEM248
525,RAB5C
526,IL37
527,GOLT1B
528,IL4I1
529,HDAC3
530,SCTR
531,TMEM43
532,ZC3H15
533,SNX22
534,TNFSF13
535,ICOS
536,LLGL1
537,ZNF614
538,CDYL
539,ZNF544
540,GRPEL1
541,CFI
542,IGFALS
543,HIP1R
544,HAMP
545,FOXRED2
546,SFT2D2
547,ERRFI1
548,ARID3B
549,RPLP1
550,PPP6C
551,GRHL2
552,KLF7
553,SYN3
554,ARRB2
555,EPPK1
556,OLFM3
557,PHB
558,TAF1
559,C6orf89
560,ANK2
561,PHF2
562,PIANP
563,NDUFAF6
564,NT5E
565,KCNK3
566,GSTO1
567,FOSL1
568,RAP1A
569,KCNAB1
570,SAMD4A
571,CAMK2D
572,PGAP3
573,SULT1C3
574,RAB36
575,CACNG6
576,SLC48A1
577,SH3BGRL3
578,SLCO1B1
579,ZNF253
580,ULBP1
581,USP7
582,C1QBP
583,INO80C
584,NQO2
585,NGFR
586,SAR1B
587,MRRF
588,DPF1
589,GM2A
590,ZNF746
591,DGKG
592,PPID
593,LRFN1
594,LCE3C
595,RNF7
596,ATOX1
597,ORAI1
598,PTK6
599,MRPL22
600,BMX
601,CNOT10
602,THOC3
603,CTSV
604,RAD9A
605,IFNGR2
606,SQSTM1
607,MTR
608,STOX1
609,ZNF432
610,ZIC2
611,CXCL10
612,PIP5K1B
613,KLRC2
614,CHD8
615,GSTM3
616,GJA3
617,BNIPL
618,RAB25
619,GOLGA5
620,EML6
621,TRAPPC1
622,FZD10
623,GSTM5
624,STX17
625,CD81
626,AURKAIP1
627,KCNH2
628,LGMN
629,ZNF567
630,NOL6
631,SMDT1
632,C1S
633,GPS2
634,NAALAD2
635,GTF3C1
636,DNAH14
637,PHF12
638,ARHGEF18
639,TTC30A
640,UNC119
641,EHF
642,WNT10B
643,STARD3
644,PACS1
645,INTS3
646,MCAM
647,MAPK12
648,RNF6
649,KIF5B
650,RNF125
651,MOXD1
652,HERC1
653,SKAP1
654,METTL23
655,RNF170
656,CDC45
657,PLA2G6
658,ELP2
659,HNRNPA0
660,DCTN3
661,DYSF
662,HIST1H4A
663,SRP14
664,NRBP2
665,AP2A2
666,SRSF8
667,RRP1
668,LALBA
669,LIPE
670,CLGN
671,F7
672,BDNF
673,TAOK1
674,EPHA1
675,USP48
676,NFXL1
677,MSRB3
678,PDK4
679,ZNF277
680,GRPEL2
681,ZNF587
682,POLR2L
683,SIGLEC11
684,CEP112
685,HBE1
686,TOP1MT
687,SYNPO2L
688,TOMM40
689,TMCC3
690,MYL12A
691,MAOA
692,WDFY3
693,PCMTD2
694,SCNM1
695,ATRN
696,IL3RA
697,RTN4R
698,SEC63
699,FAM162A
700,APOA1
701,MDM4
702,ENSA
703,NUDT7
704,WBP4
705,MEIS1
706,ATP2B1
707,PATL1
708,TMED4
709,HYOU1
710,SEMA6A
711,PELI2
712,NAGK
713,GABRE
714,MSTO1
715,CEP104
716,SHROOM1
717,GSC
718,UBAC2
719,ATP1A2
720,CAPNS2
721,TRIM23
722,PCDHGA9
723,KRTAP10-9
724,SPOCK2
725,SNRPA1
726,S100B
727,CYBB
728,B4GALNT2
729,CCNDBP1
730,EPB41
731,TADA2B
732,IRS2
733,CYP2C19
734,POU4F3
735,GALK1
736,CAT
737,FASTKD1
738,MIER2
739,ZNF784
740,MSX2
741,HES6
742,FRMD3
743,EI24
744,C11orf87
745,SELP
746,ZNF320
747,TKTL1
748,CDC25B
749,MICA
750,PIWIL1
751,CBX7
752,ARHGDIA
753,DYNC1H1
754,BARX1
755,MYF5
756,PTK2B
757,PNP
758,SLC35G1
759,SETD7
760,SUPT20H
761,CHD5
762,PCYT1B
763,BCL2
764,NGB
765,PNMA2
766,HNRNPH2
767,DYM
768,ZBED6
769,MYZAP
770,FABP1
771,SDHB
772,HAS1
773,FASLG
774,PDZD4
775,RNASE7
776,TMEM176A
777,KRT222
778,HOXC13
779,TAC1
780,FMO1
781,CLEC4M
782,CXCL9
783,CHST13
784,MTMR14
785,TRIM22
786,ASF1B
787,ACADVL
788,SHMT1
789,BNIP2
790,RET
791,ROM1
792,COG2
793,KEL
794,KAT8
795,GAD1
796,DYNC1LI1
797,NABP1
798,URM1
799,OTC
800,NOS3
801,ZNF32
802,CXXC5
803,FECH
804,RAB12
805,TMEM87A
806,IGFBP1
807,POLR1B
808,UQCRB
809,TBX15
810,GALNT14
811,LEO1
812,MUC7
813,WDR12
814,NME2
815,MICU1
816,HIST1H3I
817,NPBWR1
818,PF4
819,TYR
820,LILRB4
821,MTPAP
822,SDCBP
823,FBXO9
824,PLCD3
825,AIFM1
826,BET1
827,SLC16A7
828,MYO5C
829,CLK2
830,TIMM9
831,PALB2
832,IL22RA2
833,ZNF774
834,ACOT7
835,POLD4
836,MID2
837,TAF10
838,CNR1
839,ZDHHC21
840,PARD3
841,ART1
842,TIGD3
843,ATF5
844,NNMT
845,INTS6
846,NUP62CL
847,INHBC
848,PAQR6
849,PTPRT
850,PRRT2
851,AGK
852,SERP2
853,CEACAM8
854,ITGAD
855,RPL27A
856,DPP3
857,GTF3A
858,PEX19
859,ZMYND8
860,SEPT7
861,SUCO
862,UGCG
863,NAGA
864,SMO
865,CEP19
866,MMP16
867,PHF20
868,SIRT6
869,PPARG
870,S1PR5
871,STON1
872,STK17B
873,COL16A1
874,IKBKE
875,OGT
876,AURKA
877,TMEM168
878,PYCR1
879,PID1
880,MAX
881,ZBED1
882,FBXO22
883,RTN4RL1
884,ATP6V0D2
885,PLVAP
886,SALL1
887,SNAP29
888,UBE2M
889,TRAF6
890,UNC93B1
891,GPKOW
892,GMIP
893,CBL
894,AK3
895,DNAH9
896,TP53
897,MYL1
898,CLINT1
899,PIN1
900,COL1A2
901,GNPNAT1
902,NCOA5
903,NRAP
904,PRDM6
905,SRP19
906,PSD4
907,ATP6V0A4
908,PDS5B
