,0
413,ST7
414,SAP30
415,FNBP1L
416,ISG20L2
417,NPFFR2
418,STOX1
419,NR2F1
420,ZNF566
421,SAP30L
422,PRKAR1A
423,MORF4L2
424,PTGS2
425,PDXK
426,ERBB4
427,SERTAD3
428,CCDC90B
429,SYNJ1
430,AAAS
431,EPHX4
432,UBE2Z
433,XPO6
434,CDK5RAP2
435,GALNT10
436,CBX5
437,FOCAD
438,ICA1
439,OSBPL5
440,EXT1
441,WIF1
442,FGFR4
443,ELMSAN1
444,PIP5K1C
445,TRIM25
446,ATP11A
447,SELE
448,DCXR
449,PROM1
450,MBOAT1
451,CRB3
452,SIAH2
453,XPO4
454,TMEM30A
455,ZNF621
456,POLR3D
457,WAS
458,FAM107A
459,FBXO6
460,DENND4C
461,DDR1
462,RHBDL3
463,RBM6
464,JUN
465,ZNF17
466,UFL1
467,LAMP3
468,SPI1
469,ZNF780A
470,CUL4B
471,EBPL
472,SLC40A1
473,RASL10B
474,FGD1
475,MRPL20
476,PPARA
477,BPI
478,IL33
479,SCPEP1
480,SGCB
481,GC
482,PLIN1
483,HNRNPAB
484,PDIA3
485,RPF2
486,APPL1
487,UPF2
488,MAOB
489,MAMSTR
490,SLPI
491,DDX11
492,SNW1
493,TOR4A
494,MED1
495,GRPEL2
496,CRH
497,TMEM203
498,CLEC5A
499,FFAR2
500,RBM12
501,PDCD4
502,MT1E
503,MKX
504,DERL3
505,TTLL1
506,MAPK4
507,PRDX2
508,SPTBN1
509,BATF2
510,PRKAG3
511,LCE5A
512,GAS6
513,SDAD1
514,HAUS5
515,SKP2
516,FCGRT
517,MED28
518,DBN1
519,DCAF16
520,ZNF622
521,MYSM1
522,PISD
523,ANXA3
524,TSPYL5
525,EIF3G
526,PARD6G
527,GPSM2
528,CTSZ
529,SLC20A1
530,POLG
531,IGF1R
532,F2RL2
533,ZNF692
534,UBE2W
535,SLA
536,TP53I11
537,YIPF1
538,RPL38
539,NT5C2
540,PTPN12
541,WASL
542,RHBDD1
543,FGF10
544,ZNF318
545,RHEB
546,RASD2
547,ALDH1A3
548,MNS1
549,PTK2B
550,EVA1C
551,GNS
552,PRRT2
553,LAPTM4B
554,ZNF350
555,MRPS5
556,TONSL
557,ZNF664
558,IL10RA
559,TYK2
560,MTMR4
561,ADAM15
562,ENPEP
563,C16orf91
564,FATE1
565,BCL2
566,TIPIN
567,ZBTB47
568,BDH1
569,PSMB5
570,LRIG1
571,KCTD1
572,NR5A2
573,NOTCH2
574,RECQL
575,ITPK1
576,DCAF17
577,RAB21
578,TMOD1
579,BEX5
580,ELAC2
581,FXYD6
582,PHTF2
583,XAB2
584,MRPL10
585,NCAPH2
586,PRF1
587,DPYSL3
588,ANTXR2
589,SERPINI1
590,HSD17B11
591,FMN1
592,SH2B2
593,GNG2
594,UBE2J1
595,THOC1
596,EOMES
597,DLG1
598,SUMF1
599,RUNX1T1
600,KIAA1324
601,HIST1H3F
602,MZT2B
603,CA8
604,PRPF6
605,IL1R1
606,MCL1
607,LRRC26
608,LZTS2
609,G2E3
610,ULK1
611,CYLD
612,PBX1
613,A2ML1
614,MFSD2A
615,CPE
616,SORBS2
617,RELL1
618,GBP5
619,TCEAL2
620,MRPS23
621,ENTPD6
622,CFB
623,SP7
624,KCNJ16
625,KLF7
626,CDO1
627,RAET1E
628,MMP20
629,ASGR1
630,TNPO3
631,PIGO
632,STX19
633,PIM3
634,NDUFA3
635,CREB3L2
636,CDCA7L
637,UBAP1
638,NTRK1
639,MARVELD1
640,CPT2
641,BRAT1
642,PI4K2A
643,NREP
644,MAFK
645,PLCD4
646,STK35
647,KIF1B
648,CXXC1
649,SPHKAP
650,FAT3
651,ATF4
652,SIPA1
653,SLC4A7
654,PTGR1
655,RPS24
656,ZFYVE27
657,MFN2
658,RBMS2
659,LSAMP
660,RAC1
661,RPL9
662,KATNBL1
663,RXRB
664,ABHD5
665,SCGB3A2
666,CREG1
667,RABAC1
668,RPS18
669,GCNT2
670,POLR2I
671,ESAM
672,SNRNP35
673,TRIP4
674,DCAF7
675,YPEL3
676,NARF
677,MYCBP2
678,RHOC
679,CDON
680,RIPPLY3
681,CDS2
682,SH2B1
683,KEAP1
684,LRRC32
685,WNT4
686,ROCK1
687,ITIH1
688,DCP2
689,ABLIM2
690,C1QA
691,BPIFA1
692,FBXO11
693,UQCRC1
694,TBX2
695,ZMYND10
696,CENPE
697,EIF2AK2
698,SRD5A3
699,INTS4
700,XDH
701,NXPE3
702,ZDHHC20
703,ERMAP
704,UBXN1
705,SLC43A2
706,TPST2
707,OSR1
708,C9orf78
709,STATH
710,CHCHD10
711,SMARCD1
712,PRELID1
713,ABCC1
714,EIF2B2
715,SLC26A1
716,STAT1
717,AHSG
718,IL18BP
719,FHL5
720,PAX1
721,TMEM220
722,DKK1
723,SNRK
724,ZC3H18
725,FKBP2
726,VCP
727,TMEM213
728,MT1H
729,TSC2
730,POMC
731,PLCL2
732,STRIP1
733,BRD4
734,INPP5A
735,TBC1D1
736,ZNF598
737,ARL4C
738,RILP
739,CACNG2
740,PDE10A
741,HSPB3
742,ZNF532
743,STRA6
744,LDB2
745,CDH11
746,ATP2A3
747,CHRND
748,ECE2
749,SHISA2
750,TMEM192
751,POU2F3
752,ATAD2
753,AGTRAP
754,CMTM3
755,OSBP
756,ACAD8
757,NKX3-2
758,KCNE3
759,RPS6KA3
760,ZDHHC24
761,NEK2
762,PCBP1
763,HIST1H2AH
764,TAF3
765,FOXD1
766,YY1
767,GFM2
768,AOC2
769,FBN3
770,MANBA
771,ESR1
772,MTG2
773,ALDH3A1
774,CRIP1
775,CASP4
776,NCALD
777,GOT1
778,LGALS1
779,POLR1D
780,SMTNL1
781,RAN
782,MAN2B1
783,SEZ6L
784,ZNF860
785,RAB5A
786,PPT2
787,CLEC4E
788,PHGDH
789,CDK1
790,YME1L1
791,CELSR3
792,ERP27
793,KLHL20
794,KLF12
795,EFHC1
796,CEP104
797,NKD2
798,PTS
799,RPRD2
800,ACYP2
801,ABCF2
802,EIF3L
803,MEMO1
804,APEX1
805,SLC39A10
806,HIST1H3I
807,RXRG
808,RAC2
809,LFNG
810,TARBP2
811,SRFBP1
812,CFL2
813,TNFAIP3
814,ZFAND2A
815,HSPD1
816,KPNA4
817,AP1G2
818,SSBP1
819,NUDT11
820,ZFHX3
821,DACT1
822,CIZ1
823,FUCA2
824,C1RL
825,ECE1
826,CXCL11
827,SPTAN1
828,NSMCE1
829,RNPS1
830,EYA2
831,SLC30A7
832,UQCC1
833,PRPF19
834,LRP8
835,FMO5
836,GREM1
837,GZMK
838,SEC24D
839,NLRC5
840,CYP8B1
841,RNF25
842,M1AP
843,P4HTM
844,ECM1
845,TUBA1C
846,SCYL2
847,CD96
848,ACSL6
849,TP53BP1
850,LY86
851,AURKC
852,TOMM34
853,NRN1
854,MPRIP
855,SLC14A1
856,RXRA
857,AKR1C1
858,RIMKLA
859,MMP11
860,WWTR1
861,LSM14A
862,SHC4
863,KNOP1
864,NFASC
865,APEX2
866,TMEM214
867,CYP4B1
868,POMT1
869,PMAIP1
870,RANBP10
871,TOP2B
872,GINS2
873,MFN1
874,NPNT
875,HDAC6
876,TMEM164
877,PTP4A3
878,RTN1
879,INSRR
880,RPAIN
881,TP53INP1
882,CREB3L3
883,BMP7
884,TMEM38B
885,SPDYC
886,MYH6
887,TXNDC11
888,STARD13
889,ATP1B3
890,TLR1
891,PGLYRP4
892,RBM4
893,BCAS3
894,ROM1
895,MOB1A
896,GOSR2
897,ABCC8
898,P3H3
899,PSMB8
900,PSMA4
901,RPS4X
902,TRAPPC1
903,CELF4
904,EPB41L4B
905,TNRC6B
906,MRPS33
907,SIPA1L1
908,BRD3
909,SP6
910,COPG2
911,VIPR1
912,P2RY12
913,SPTSSA
914,AGO4
915,SAAL1
916,SETD7
917,SMR3B
918,SLIT2
919,DHX33
920,DCK
921,ZNF146
922,ATG4C
923,PIAS1
924,BCS1L
925,SLBP
926,WDR77
927,MYPN
928,CHCHD1
929,RPA3
930,FKTN
931,THOC3
932,CARHSP1
933,SALL1
934,CA4
935,MEIS3
936,CRTAC1
937,XXYLT1
938,SV2B
939,GDPGP1
940,MCOLN1
941,FREM2
942,HSD17B4
943,STRN4
944,TMPRSS3
945,KLF16
946,ARSE
947,RNASEH2B
948,TSPAN3
949,NLRP1
950,SLC9A7
951,VPS36
952,DUSP4
953,ID4
954,PARP16
955,ZCCHC8
956,PAWR
957,SLC37A3
958,CRTAP
959,ARFGAP1
960,THRSP
961,LRP1
962,SUSD1
963,DDR2
964,FUT8
965,SLC25A5
966,TEX14
967,KLC4
968,PIGC
969,KLK7
970,SLC5A3
971,S100B
972,ADAM8
973,TSPAN18
974,PTPMT1
975,KLHL9
976,ENO1
977,DGKQ
978,SLC2A6
979,VHL
980,HMGCS2
981,KMT2E
982,ASAP3
983,PDK1
984,IRF4
985,CLEC4A
986,ATP8B2
987,TMEM167A
988,SLAMF7
989,KLF4
990,NAV2
991,ACBD5
992,KRT33B
993,DGCR2
994,KCNA5
995,ENO2
996,SEPT7
997,PHF12
998,KIAA2013
999,ALG11
1000,AGPAT1
1001,TRPC6
1002,CHMP1A
1003,ZNF135
1004,PXMP2
1005,HTR1D
1006,SLC39A11
1007,FAM172A
1008,GANAB
1009,GLP1R
1010,PPP1R12A
1011,NOL3
1012,MORC2
1013,ALOX5AP
1014,CLMP
