,0
411,WAS
412,FAM107A
413,FBXO6
414,DENND4C
415,DDR1
416,RHBDL3
417,RBM6
418,JUN
419,UFL1
420,AATK
421,LAMP3
422,SPI1
423,ZNF780A
424,CUL4B
425,EBPL
426,SLC40A1
427,RASL10B
428,FGD1
429,MRPL20
430,IL33
431,TINAG
432,SCPEP1
433,SGCB
434,GC
435,PLIN1
436,HTR1F
437,HNRNPAB
438,PDIA3
439,RPF2
440,APPL1
441,UPF2
442,MAOB
443,SLPI
444,DDX11
445,SNW1
446,ITGB3BP
447,TOR4A
448,MED1
449,GRPEL2
450,CRH
451,TMEM203
452,FFAR2
453,RBM12
454,PDCD4
455,MT1E
456,MKX
457,DERL3
458,TTLL1
459,MAPK4
460,PRDX2
461,SPTBN1
462,BATF2
463,GAS6
464,SDAD1
465,MSANTD4
466,HAUS5
467,FCGRT
468,MED28
469,SKP2
470,DBN1
471,DCAF16
472,ZNF622
473,MYSM1
474,PISD
475,ANXA3
476,HS3ST3A1
477,TSPYL5
478,EIF3G
479,PARD6G
480,GPSM2
481,CTSZ
482,SLC20A1
483,POLG
484,IGF1R
485,F2RL2
486,ZNF692
487,TP53I11
488,SLA
489,YIPF1
490,RPL38
491,NT5C2
492,PTPN12
493,WASL
494,ALDH1A3
495,ZNF318
496,RHEB
497,RASD2
498,MNS1
499,PTK2B
500,EVA1C
501,PRRT2
502,GNS
503,LAPTM4B
504,ZNF350
505,MRPS5
506,TONSL
507,ZNF664
508,SLC25A26
509,IL10RA
510,TYK2
511,MTMR4
512,ADAM15
513,C16orf91
514,BCL2
515,TIPIN
516,ZBTB47
517,BDH1
518,PSMB5
519,ATOH1
520,LRIG1
521,KCTD1
522,NR5A2
523,ITPK1
524,NOTCH2
525,RECQL
526,RAB21
527,BEX5
528,TMOD1
529,ELAC2
530,FXYD6
531,PHTF2
532,XAB2
533,MRPL10
534,NCAPH2
535,PRF1
536,DPYSL3
537,ANTXR2
538,SERPINI1
539,HSD17B11
540,SH2B2
541,UBE2J1
542,THOC1
543,GNG2
544,DLG1
545,SUMF1
546,U2AF1L4
547,KIAA1324
548,HIST1H3F
549,MZT2B
550,PRPF6
551,IL1R1
552,MCL1
553,LZTS2
554,ULK1
555,EXTL2
556,PBX1
557,CYLD
558,A2ML1
559,MFSD2A
560,RAPGEF3
561,CPE
562,SORBS2
563,RELL1
564,GBP5
565,TCEAL2
566,PRPH2
567,KRTAP19-1
568,MRPS23
569,ENTPD6
570,CFB
571,KCNJ16
572,KLF7
573,CDO1
574,RAET1E
575,TNPO3
576,STX19
577,PIGO
578,PIM3
579,CREB3L2
580,CDCA7L
581,NDUFA3
582,SLC38A6
583,PRRT1
584,NR6A1
585,UBAP1
586,NTRK1
587,MARVELD1
588,CPT2
589,BRAT1
590,PI4K2A
591,C14orf93
592,NREP
593,MAFK
594,PLCD4
595,STK35
596,KIF1B
597,CXXC1
598,SPHKAP
599,ATF4
600,SIPA1
601,SLC4A7
602,PTGR1
603,RPS24
604,ZFYVE27
605,MFN2
606,RBMS2
607,LSAMP
608,RAC1
609,KATNBL1
610,RPL9
611,RABAC1
612,RXRB
613,ABHD5
614,RPS18
615,CREG1
616,ESAM
617,POLR2I
618,TRIP4
619,SNRNP35
620,YPEL3
621,DCAF7
622,NARF
623,MYCBP2
624,RHOC
625,SH2B1
626,RIPPLY3
627,CDS2
628,KEAP1
629,LRRC32
630,WNT4
631,ROCK1
632,ITIH1
633,DCP2
634,C1QA
635,BPIFA1
636,UQCRC1
637,NR1H4
638,TBX2
639,CENPE
640,EIF2AK2
641,SRD5A3
642,INTS4
643,XDH
644,NXPE3
645,ZDHHC20
646,ERMAP
647,UBXN1
648,SLC43A2
649,TPST2
650,OSR1
651,C9orf78
652,CHCHD10
653,SMARCD1
654,PRELID1
655,ABCC1
656,EIF2B2
657,STAT1
658,AHSG
659,IL18BP
660,DKK1
661,SNRK
662,ZC3H18
663,FKBP2
664,VCP
665,MT1H
666,TSC2
667,POMC
668,PLCL2
669,STRIP1
670,BRD4
671,INPP5A
672,TBC1D1
673,ZNF598
674,ARL4C
675,RILP
676,PDE10A
677,HSPB3
678,ZNF532
679,STRA6
680,LDB2
681,CDH11
682,ATP2A3
683,CHRND
684,AIRE
685,ECE2
686,SHISA2
687,POU2F3
688,PRKCZ
689,ATAD2
690,AGTRAP
691,CMTM3
692,OSBP
693,KCNE3
694,RPS6KA3
695,ZDHHC24
696,NEK2
697,PCBP1
698,SULT2A1
699,HIST1H2AH
700,TAF3
701,FOXD1
702,YY1
703,GFM2
704,AOC2
705,ESR1
706,MANBA
707,MTG2
708,ALDH3A1
709,SALL4
710,CRIP1
711,CASP4
712,NCALD
713,GOT1
714,LGALS1
715,POLR1D
716,MAN2B1
717,SEZ6L
718,RAN
719,GRXCR1
720,RAB5A
721,CLEC4E
722,PPT2
723,PHGDH
724,CDK1
725,YME1L1
726,ERP27
727,KLHL20
728,CEP104
729,NKD2
730,CRIP3
731,PTS
732,RPRD2
733,ABCF2
734,EIF3L
735,APEX1
736,SLC39A10
737,HIST1H3I
738,TREML1
739,RAC2
740,LFNG
741,TARBP2
742,ZFAND2A
743,CFL2
744,TNFAIP3
745,HSPD1
746,KPNA4
747,AP1G2
748,SSBP1
749,NUDT11
750,ZFHX3
751,DACT1
752,CIZ1
753,FUCA2
754,C1RL
755,ECE1
756,CXCL11
757,SPTAN1
758,NSMCE1
759,RNPS1
760,EYA2
761,SLC30A7
762,UQCC1
763,PRPF19
764,LRP8
765,FMO5
766,GREM1
767,GZMK
768,FOXL1
769,SEC24D
770,NLRC5
771,RNF25
772,P4HTM
773,ECM1
774,TUBA1C
775,SCYL2
776,CD96
777,LY86
778,AURKC
779,ERVW-1
780,TOMM34
781,NRN1
782,MPRIP
783,SLC14A1
784,RXRA
785,AKR1C1
786,RIMKLA
787,MMP11
788,WWTR1
789,LSM14A
790,SHC4
791,KNOP1
792,APEX2
793,TMEM214
794,CYP4B1
795,POMT1
796,PMAIP1
797,RANBP10
798,TOP2B
799,GINS2
800,MFN1
801,HDAC6
802,NPNT
803,TMEM164
804,PTP4A3
805,RTN1
806,INSRR
807,TP53INP1
808,RPAIN
809,BMP7
810,SPDYC
811,TXNDC11
812,SRXN1
813,STARD13
814,ATP1B3
815,TLR1
816,PGLYRP4
817,MOB1A
818,GOSR2
819,P3H3
820,PSMB8
821,PSMA4
822,MYOCD
823,RPS4X
824,TRAPPC1
825,EPB41L4B
826,IFNE
827,MRPS33
828,SIPA1L1
829,BRD3
830,SP6
831,COPG2
832,VIPR1
833,SMR3B
834,SPTSSA
835,AGO4
836,SAAL1
837,SETD7
838,DHX33
839,DCK
840,ZNF146
841,ATG4C
842,PIAS1
843,BCS1L
844,SLBP
845,WDR77
846,MYPN
847,CHCHD1
848,RPA3
849,THOC3
850,CARHSP1
851,CA4
852,MEIS3
853,CRTAC1
854,XXYLT1
855,MCOLN1
856,FREM2
857,HSD17B4
858,STRN4
