,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3.5318127,-3.4862578,-1.9202821,0.1608751,-3.2081544,-2.7863293,-2.206739,-2.7327719,-8.0887575,9.704084,4.1603765,3.340624,7.5569854,9.754711,-6.000507,-1.9818478,0.5229434,-4.632842,6.5045156,3.004239,-2.6214666,-1.7152934,-4.631246,-2.4661932,-3.6863482,0.5219445,5.1555557,-7.953804,-2.5757155,8.402154,3.3585777,-0.35411602,7.233661,-7.3034983,-8.337275,-7.1552043,3.898138,-5.937565,4.0534067,7.3668637,4.6087565,1.6854124,-5.5705233,-5.372576,4.658917,5.9165025,5.372211,-0.6661294,-0.48385924,2.639783,0.07576299,1.9715508,0.054831505,0.33315918,1.7135329,0.13644132,-0.0668264,-0.6663744,0.42539263,-0.30156255,-0.21290381,0.34930822,0.21038918,0.19561124
1,45.46218,-24.292995,-22.575075,47.73379,-30.333292,14.931248,12.424305,54.35956,-99.92966,120.2089,83.44879,41.979908,94.517876,121.62094,-74.308205,-25.898458,32.64427,-59.014473,83.010315,43.838017,-30.649508,-39.51645,-56.017624,-2.998932,-46.242878,6.519306,63.093758,-99.468216,-31.653702,104.06968,40.171864,80.201416,90.76717,-91.66454,-101.32503,-86.56017,48.75726,-73.98591,59.12204,151.91968,72.59865,51.596004,-67.31812,-66.070595,59.872982,74.62384,67.29,-8.616156,-5.30956,36.374706,58.98245,27.34304,-31.384876,15.681154,22.997232,3.3698566,1.1123875,-6.331057,9.417366,26.301144,4.220872,5.1041765,6.8583994,10.773195
2,18.72505,-7.9404144,-9.381788,2.1762595,-18.365866,-10.655291,-9.992991,-2.6593666,-41.300682,49.66221,21.153091,17.324488,39.02194,50.209976,-30.715797,-10.657387,8.050555,-24.289528,34.18984,16.495167,-12.743938,-21.094429,-23.834057,-14.411672,-19.06904,2.6767612,26.113295,-41.036896,-13.077507,43.012043,16.674871,8.426282,37.467464,-37.826836,-41.983612,-34.6889,20.128399,-30.554708,21.846903,45.24038,24.071974,9.848246,-27.927593,-27.324348,24.64576,30.765135,27.750034,-3.53445,-1.360333,14.838938,4.293009,11.1507225,-5.345503,1.981174,9.407384,1.3442754,0.37218463,-2.7052867,-3.1047974,0.9291353,-0.57371074,2.9348788,2.5930533,3.2834764
3,13.866984,-14.464104,-7.0178866,2.141779,-13.010435,-10.379028,-7.9316487,-6.6137495,-30.740562,36.937077,15.715216,12.875879,28.980253,37.32248,-22.843008,-7.8869085,2.9087484,-18.039154,25.379103,11.559403,-9.512937,-13.264924,-17.714266,-10.734149,-14.1438875,1.9920366,19.429598,-30.511984,-9.738115,31.994509,12.451788,-0.57914066,27.822464,-28.100473,-31.261131,-26.718864,14.95394,-22.722439,16.174318,28.765205,17.902597,7.2433233,-20.786457,-20.324348,18.281599,22.85468,20.621485,-2.6162426,-1.6828095,10.947487,-0.7971921,8.218277,-3.2490559,1.8196955,6.9403167,0.9489864,0.251461,-2.075372,-3.0938616,-3.1448975,-0.46590286,1.9278352,1.8427751,1.2259967
4,28.61263,-23.639275,-10.978295,4.0360823,-15.825295,-4.333743,-6.69462,10.258329,-42.302353,58.16497,26.637604,20.27947,45.694775,58.81357,-35.966488,-10.841264,4.9174776,-28.450285,40.059834,19.44501,-14.902207,-20.978489,-27.8936,-15.140114,-22.344112,3.1601615,30.54073,-48.0969,-15.322789,50.36446,19.517284,-0.35164785,43.87521,-44.301186,-49.099445,-41.97397,23.568058,-35.778908,25.632812,51.320816,28.233479,20.818321,-32.649845,-31.97353,28.889341,36.073315,32.5245,-4.1499834,-2.6200325,17.448282,17.081614,13.107172,-2.0318356,6.473549,11.062522,1.5779204,0.4654161,-3.1624613,5.942936,3.2830048,-0.63674754,5.9120197,3.1244404,0.6204114
5,4.4196024,-4.823968,-2.3354516,0.06071145,-3.829472,-3.3136396,-2.6697736,-3.2587984,-9.930424,11.946959,5.144206,4.1340733,9.314305,12.016429,-7.3715487,-2.472509,0.82353103,-5.7141347,8.074585,3.665729,-3.177966,-2.8970885,-5.6906805,-3.863124,-4.532324,0.6561967,6.295687,-9.797819,-3.1466258,10.356547,4.126122,-0.40737745,8.921549,-9.027067,-10.210529,-8.737422,4.768132,-7.2869883,5.034857,9.110545,5.6963625,2.1256833,-6.808649,-6.5895057,5.8042054,7.349624,6.6359334,-0.83613944,-0.5921588,3.351614,-0.37395304,2.5064697,-0.40801382,0.4415916,2.1611147,0.23193933,-0.0334403,-0.7896056,-0.13925385,-1.0144014,-0.2376653,0.46021265,0.3256063,0.07514918
6,3.6016843,-3.8503313,-1.9322962,0.024110662,-3.0229328,-2.48854,-2.2191315,-2.7095027,-8.17103,9.81139,4.245909,3.4049604,7.653836,9.865129,-6.0645447,-1.9838111,0.63629395,-4.683744,6.5914526,3.0202518,-2.656616,-2.5417085,-4.6716785,-2.7867851,-3.7124984,0.5288685,5.1925297,-8.023633,-2.5880327,8.509376,3.4146132,-0.34454456,7.348638,-7.4049015,-8.403298,-7.219337,3.92802,-5.971059,4.132736,7.4474053,4.6498976,1.7078708,-5.6191235,-5.4088197,4.7191577,6.0055585,5.459089,-0.66709363,-0.50510395,2.7150502,-0.1200043,2.011941,-0.33886385,0.52267456,1.75643,0.16132145,-0.047165304,-0.66026145,-0.14042187,-0.60248864,-0.2210167,0.3705288,0.21114032,0.026852071
7,12.098592,-12.221512,-6.130604,3.574069,-10.2615595,-8.991753,-4.2631125,-5.4467916,-26.792412,32.23463,13.758148,11.224334,25.28028,32.56811,-19.904766,-6.854395,2.6667333,-15.701294,22.091936,10.08619,-8.324799,-11.367916,-15.438721,-6.972187,-12.368614,1.7476299,16.97084,-26.603165,-8.489847,27.914251,10.865578,-0.9080378,24.264053,-24.495316,-27.292795,-23.348122,13.014724,-19.795563,14.118312,25.067396,15.6028185,6.2613215,-18.154943,-17.77081,15.905914,19.942034,17.99964,-2.29435,-1.48812,9.534215,0.6146717,7.148288,-4.3176346,2.5120664,6.0454993,0.8225362,0.15719342,-1.8068715,-2.1257725,-2.5943913,-0.42417225,3.3202689,1.5723147,0.9167018
8,0.2765447,-0.49052757,-0.3015051,-0.09819588,-0.3173148,-0.38639966,-0.31699,-0.45088506,-0.9351712,1.1052079,0.5029198,0.33058706,0.74941593,1.0315162,-0.70197093,0.0135867,0.040494684,-0.38464805,0.52873075,0.24600339,-0.4170068,0.4584425,-0.5059816,-0.058950484,-0.36420864,0.05435615,0.639968,-0.84172565,-0.28473043,0.94413596,0.49626777,-0.15857206,0.7436689,-0.73336506,-1.104315,-0.98978186,0.38378108,-0.6448085,0.20655648,0.56609064,0.42075956,-0.0742248,-0.75660634,-0.68063223,0.3596093,0.5807119,0.57339054,-0.062367775,-0.1077771,-0.0071093887,-0.2614804,0.00077628344,0.7347517,-0.038168952,0.035944432,-0.06843853,-0.13893959,-0.2294454,0.7564199,0.4316926,-0.15223387,-0.037195064,-0.33388424,-0.0010295659
9,3.7324088,-4.358163,-2.0270634,0.015657129,-3.1509771,-2.6465628,-2.2960935,-2.6748958,-8.489283,10.158793,4.357872,3.5114744,7.914853,10.2087555,-6.3142676,-2.1024315,0.72699594,-4.8645406,6.8433475,3.122212,-2.725865,-2.3098178,-4.8583374,-2.7704153,-3.837144,0.5570077,5.372358,-8.353361,-2.6879792,8.811327,3.5150657,-0.39389285,7.58702,-7.665319,-8.744647,-7.4783807,4.069438,-6.2334485,4.2166533,7.709661,4.82622,1.7739064,-5.839698,-5.628289,4.908355,6.22998,5.633753,-0.7170439,-0.5066302,2.764861,-0.5371924,2.0739176,0.55599785,0.35115096,1.7979763,0.17975852,-0.03940205,-0.69737595,0.3377185,-0.25400424,-0.22894278,0.37465364,0.19767307,-0.06806046
