,0
412,MT1E
413,DERL3
414,MAPK4
415,PRDX2
416,SPTBN1
417,BATF2
418,GAS6
419,SDAD1
420,HAUS5
421,SKP2
422,FCGRT
423,DBN1
424,DCAF16
425,ZNF622
426,PISD
427,ANXA3
428,HS3ST3A1
429,TSPYL5
430,EIF3G
431,CTSZ
432,SLC20A1
433,POLG
434,ZNF692
435,F2RL2
436,TP53I11
437,SLA
438,YIPF1
439,RPL38
440,NT5C2
441,PTPN12
442,WASL
443,ALDH1A3
444,ZNF318
445,RHEB
446,MNS1
447,PTK2B
448,EVA1C
449,GNS
450,LAPTM4B
451,MRPS5
452,TONSL
453,ZNF664
454,SLC25A26
455,IL10RA
456,TYK2
457,MTMR4
458,ADAM15
459,ENPEP
460,C16orf91
461,ZBTB47
462,BDH1
463,PSMB5
464,LRIG1
465,NR5A2
466,ITPK1
467,NOTCH2
468,RECQL
469,BEX5
470,TMOD1
471,ELAC2
472,FXYD6
473,XAB2
474,MRPL10
475,NCAPH2
476,PRF1
477,DPYSL3
478,ANTXR2
479,SERPINI1
480,HSD17B11
481,SH2B2
482,GNG2
483,UBE2J1
484,SUMF1
485,U2AF1L4
486,KIAA1324
487,GLI1
488,MZT2B
489,PRPF6
490,IL1R1
491,MCL1
492,LZTS2
493,ULK1
494,MFSD2A
495,CPE
496,SORBS2
497,GBP5
498,TCEAL2
499,MRPS23
500,ENTPD6
501,CFB
502,KCNJ16
503,CDO1
504,ASGR1
505,TNPO3
506,PIM3
507,PIGO
508,CREB3L2
509,CDCA7L
510,NDUFA3
511,SLC38A6
512,UBAP1
513,MARVELD1
514,CPT2
515,BRAT1
516,PI4K2A
517,NREP
518,MAFK
519,PLCD4
520,STK35
521,CXXC1
522,ATF4
523,SIPA1
524,PTGR1
525,RPS24
526,ZFYVE27
527,MFN2
528,RBMS2
529,GCK
530,RAC1
531,RPL9
532,RABAC1
533,RXRB
534,ABHD5
535,RPS18
536,CREG1
537,ESAM
538,POLR2I
539,TRIP4
540,SNRNP35
541,YPEL3
542,DCAF7
543,NARF
544,IL27
545,RHOC
546,SH2B1
547,CDS2
548,KEAP1
549,WNT4
550,LRRC32
551,ITIH1
552,ABLIM2
553,C1QA
554,BPIFA1
555,UQCRC1
556,NR1H4
557,TBX2
558,SRD5A3
559,EIF2AK2
560,INTS4
561,XDH
562,ZDHHC20
563,ERMAP
564,UBXN1
565,SLC43A2
566,TPST2
567,C9orf78
568,CHCHD10
569,SMARCD1
570,PRELID1
571,ABCC1
572,EIF2B2
573,SLC26A1
574,STAT1
575,AHSG
576,IL18BP
577,FHL5
578,TMEM220
579,DKK1
580,SNRK
581,FKBP2
582,VCP
583,MT1H
584,TSC2
585,POMC
586,BRD4
587,INPP5A
588,TBC1D1
589,ZNF598
590,ARL4C
591,RILP
592,HSPB3
593,LDB2
594,CDH11
595,ATP2A3
596,CHRND
597,ECE2
598,TMEM192
599,ATAD2
600,AGTRAP
601,CMTM3
602,OSBP
603,ACAD8
604,KCNE3
605,RPS6KA3
606,ZDHHC24
607,NEK2
608,PCBP1
609,SLC25A18
610,SULT2A1
611,YY1
612,GFM2
613,FBN3
614,ESR1
615,MTG2
616,ALDH3A1
617,SALL4
618,DMGDH
619,CASP4
620,NCALD
621,GOT1
622,LGALS1
623,POLR1D
624,MAN2B1
625,SEZ6L
626,RAN
627,RAB5A
628,CLEC4E
629,PPT2
630,PHGDH
631,CDK1
632,YME1L1
633,ERP27
634,KLHL20
635,KLF12
636,NKD2
637,CRIP3
638,PTS
639,RPRD2
640,ACYP2
641,ABCF2
642,EIF3L
643,APEX1
644,SLC39A10
645,RXRG
646,RAC2
647,LFNG
648,TARBP2
649,ZFAND2A
650,CFL2
651,TNFAIP3
652,HSPD1
653,KPNA4
654,AP1G2
655,SSBP1
656,NUDT11
657,CIZ1
658,FUCA2
659,C1RL
660,ECE1
661,CXCL11
662,SPTAN1
663,NSMCE1
664,RNPS1
665,EYA2
666,SLC30A7
667,UQCC1
668,PRPF19
669,UGT1A4
670,FMO5
671,GREM1
672,GZMK
673,FOXL1
674,SEC24D
675,NLRC5
676,CYP8B1
677,RNF25
678,P4HTM
679,ECM1
680,TUBA1C
681,SCYL2
682,CD96
683,ACSL6
684,LY86
685,TOMM34
686,GPR50
687,NRN1
688,SLC14A1
689,RXRA
690,MPRIP
691,AKR1C1
692,MMP11
693,WWTR1
694,LSM14A
695,APEX2
696,HHIP
697,TMEM214
698,POMT1
699,PMAIP1
700,RANBP10
701,TOP2B
702,GINS2
703,MFN1
704,HDAC6
705,NPNT
706,TMEM164
707,PTP4A3
708,TP53INP1
709,CREB3L3
710,BMP7
711,TMEM38B
712,SPDYC
713,TXNDC11
714,SRXN1
715,ATP1B3
716,TLR1
717,MOB1A
718,GOSR2
719,P3H3
720,PSMB8
721,PSMA4
722,RPS4X
723,TRAPPC1
724,EPB41L4B
725,OIT3
726,MRPS33
727,SIPA1L1
728,BRD3
729,SP6
730,COPG2
731,SPTSSA
732,SAAL1
733,SETD7
734,DCK
